"Subscribe","Abonnieren"
"Wishlist","Merkzettel"
"Enter your e-mail Address","Ihre E-Mail Adresse"
"Delivery in", "Versand in"
"Delivery model dependent", "Versand ist modellabhängig"
"Price From:","ab"
"Total","Gesamt"
"(incl. Vat, excl. Shipping)", "inkl 19% MwSt. zzgl. Versand"
"View Cart","Einkaufswagen ansehen"
"Checkout","zur Kasse gehen"
"Secure Connection","Sichere Verbindung"
"Continue","Weiter"
"Last ordered items","Zuletzt bestellt"
"You can put your comments here...","Hier ist Platz für Ihre persönlichen Kommentare..."
"from ", "ab "
