"""Login with Amazon"" button color","""Connectez-vous avec Amazon""-couleur bouton"
"""Login with Amazon"" button size","""Connectez-vous avec Amazon""-bouton taille"
"""Login with Amazon"" button type","""Connectez-vous avec Amazon""-bouton type"
"""Pay with Amazon"" button color","""Payez avec Amazon""-couleur bouton"
"""Pay with Amazon"" button size","""Payez avec Amazon""-bouton taille"
"""Pay with Amazon"" button type","""Payez avec Amazon""-bouton type"
"%s API Call | %s","%s API Call | %s"
"* Required Fields","* Required Fields"
"--- Select object ---","--- choisir un objet ---"
"--- Select reason code ---","--- choisir une raison ---"
"--- Select state to simulate ---","--- Choisir l'état à simuler ---"
"-OR-","-OU-"
"1 day","1 jour"
"1 hour","1 heure"
"10 minutes","10 minutes"
"12 hours","12 heures"
"14 days","14 jours"
"15 days","15 jours"
"15 minutes","15 minutes"
"2 days","2 jours"
"2 hours","2 heures"
"3 days","3 jours"
"30 days","30 jours"
"30 minutes","30 minutes"
"4 hours","4 heures"
"5 minutes","5 minutes"
"7 days","7 jours"
"8 hours","8 heures"
"<div id=""creative-system-config"">creativestyle Extensions</div>","<div id=""creative-system-config"">creativestyle Extensions</div>"
"<strong>Amazon Payments</strong> helps you shop quickly, safely and securely. You can pay on our website without re-entering your payment and address details.","<strong>Amazon Payments</strong> helps you shop quickly, safely and securely. You can pay on our website without re-entering your payment and address details."
"<strong>Amazon Payments</strong> helps you shop quickly, safely and securely. You can pay on our website without re-entering your payment and address details. All Amazon transactions are protected by Amazon&apos;s A-to-z Guarantee.","Avec <strong>Amazon Payments</strong> vous pouvez utiliser les adresses et les informations de payments enregistrées dans votre compte Amazon pour accomplir vos achats de façon sûre et rapide. En plus vous profitez de la garantie A-z."
"A capture of %s has been processed by Amazon Payments (%s). The new status is %s.","Une capture sur %s a été traité par Amazon Payments (%s). Le nouveau status est %s."
"A refund of %s has been processed by Amazon Payments (%s). The new status is %s.","A refund of %s has been processed by Amazon Payments (%s). The new status is %s."
"Access Key ID","Access Key ID"
"Account information can be found <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/hz/me/integration/details"">here</a>","Les informations sur le compte se trouvent <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/hz/me/integration/details"">ici</a>"
"Action","Action"
"Add New","Rajouter"
"Address widget height","Hauteur widget des adresses"
"Address widget width","Largeur widget des adresses"
"Allowed IPs (comma separated)","Adresses IP autorisé (séparé par virgule)"
"Amazon Cronjobs","Amazon Cronjobs"
"Amazon logo","Logo Amazon"
"Amazon Order Reference ID: %s","Référence de la commande Amazon: %s"
